from,to,weight,period
57,1,7,2014_36
57,2,7,2014_36
57,3,11,2014_36
57,4,7,2014_36
57,5,8,2014_36
57,6,14,2014_36
57,7,7,2014_36
57,8,8,2014_37
57,3,9,2014_37
57,9,26,2014_37
57,10,27,2014_37
57,4,13,2014_37
57,11,14,2014_37
57,12,9,2014_37
57,13,11,2014_37
57,7,11,2014_37
57,8,7,2014_38
57,14,7,2014_38
57,2,7,2014_38
57,3,18,2014_38
57,9,25,2014_38
57,10,16,2014_38
57,15,7,2014_38
57,16,7,2014_38
57,4,18,2014_38
57,11,13,2014_38
57,13,7,2014_38
57,6,8,2014_38
57,7,16,2014_38
57,2,11,2014_39
57,3,12,2014_39
57,9,25,2014_39
57,10,7,2014_39
57,4,8,2014_39
57,11,13,2014_39
57,13,11,2014_39
57,7,7,2014_39
57,1,8,2014_40
57,3,27,2014_40
57,9,18,2014_40
57,10,10,2014_40
57,15,11,2014_40
57,16,9,2014_40
57,13,18,2014_40
57,6,7,2014_40
57,17,7,2014_40
57,18,7,2014_41
57,3,20,2014_41
57,9,22,2014_41
57,10,20,2014_41
57,15,16,2014_41
57,16,11,2014_41
57,4,13,2014_41
57,11,7,2014_41
57,13,8,2014_41
57,6,14,2014_41
57,7,8,2014_41
57,2,12,2014_42
57,19,7,2014_42
57,3,13,2014_42
57,20,12,2014_42
57,9,33,2014_42
57,21,7,2014_42
57,10,13,2014_42
57,11,23,2014_42
57,13,9,2014_42
57,6,10,2014_42
57,17,9,2014_42
57,7,7,2014_42
57,3,9,2014_43
57,9,18,2014_43
57,10,14,2014_43
57,15,7,2014_43
57,11,7,2014_43
57,13,7,2014_43
57,6,10,2014_43
57,22,7,2014_43
57,17,7,2014_43
57,2,11,2014_44
57,3,18,2014_44
57,9,39,2014_44
57,10,12,2014_44
57,15,8,2014_44
57,11,18,2014_44
57,13,18,2014_44
57,5,8,2014_44
57,6,8,2014_44
57,23,22,2014_45
57,24,22,2014_45
57,2,13,2014_45
57,25,7,2014_45
57,3,9,2014_45
57,9,24,2014_45
57,10,22,2014_45
57,11,10,2014_45
57,26,20,2014_45
57,13,7,2014_45
57,23,9,2014_46
57,24,12,2014_46
57,27,8,2014_46
57,2,8,2014_46
57,3,26,2014_46
57,9,13,2014_46
57,10,26,2014_46
57,15,25,2014_46
57,4,10,2014_46
57,26,10,2014_46
57,13,17,2014_46
57,6,7,2014_46
57,7,8,2014_46
57,23,7,2014_47
57,18,7,2014_47
57,1,7,2014_47
57,28,8,2014_47
57,3,16,2014_47
57,9,42,2014_47
57,10,14,2014_47
57,15,9,2014_47
57,16,10,2014_47
57,4,14,2014_47
57,11,16,2014_47
57,29,8,2014_47
57,13,18,2014_47
57,17,7,2014_47
57,7,12,2014_47
57,1,7,2014_48
57,2,8,2014_48
57,3,7,2014_48
57,9,23,2014_48
57,10,21,2014_48
57,15,11,2014_48
57,16,9,2014_48
57,11,10,2014_48
57,1,8,2014_49
57,2,10,2014_49
57,30,7,2014_49
57,3,33,2014_49
57,9,19,2014_49
57,10,27,2014_49
57,16,13,2014_49
57,4,10,2014_49
57,11,16,2014_49
57,13,19,2014_49
57,6,7,2014_49
57,31,8,2014_49
57,1,9,2014_50
57,19,8,2014_50
57,3,36,2014_50
57,9,42,2014_50
57,32,7,2014_50
57,10,21,2014_50
57,15,12,2014_50
57,16,8,2014_50
57,4,8,2014_50
57,11,19,2014_50
57,29,7,2014_50
57,13,27,2014_50
57,6,7,2014_50
57,7,8,2014_50
57,31,9,2014_50
57,1,7,2014_51
57,3,13,2014_51
57,9,27,2014_51
57,10,23,2014_51
57,15,17,2014_51
57,4,10,2014_51
57,11,8,2014_51
57,13,19,2014_51
57,5,8,2014_51
57,17,8,2014_51
57,7,10,2014_51
57,2,8,2014_52
57,3,24,2014_52
57,20,9,2014_52
57,9,18,2014_52
57,10,20,2014_52
57,15,10,2014_52
57,4,10,2014_52
57,11,9,2014_52
57,13,17,2014_52
57,5,8,2014_52
57,6,17,2014_52
57,19,7,2015_01
57,3,23,2015_01
57,9,19,2015_01
57,10,12,2015_01
57,16,7,2015_01
57,13,13,2015_01
57,7,11,2015_01
57,14,7,2015_02
57,3,31,2015_02
57,9,35,2015_02
57,32,9,2015_02
57,16,13,2015_02
57,11,14,2015_02
57,13,24,2015_02
57,23,7,2015_03
57,2,9,2015_03
57,3,23,2015_03
57,9,25,2015_03
57,10,17,2015_03
57,15,11,2015_03
57,16,10,2015_03
57,4,14,2015_03
57,11,8,2015_03
57,13,26,2015_03
57,7,14,2015_03
57,33,10,2015_04
57,2,20,2015_04
57,3,32,2015_04
57,20,7,2015_04
57,9,23,2015_04
57,10,10,2015_04
57,16,11,2015_04
57,4,8,2015_04
57,11,7,2015_04
57,13,20,2015_04
57,5,7,2015_04
57,7,11,2015_04
57,18,8,2015_05
57,2,9,2015_05
57,3,18,2015_05
57,9,25,2015_05
57,10,9,2015_05
57,4,16,2015_05
57,11,17,2015_05
57,13,17,2015_05
57,7,10,2015_05
57,14,8,2015_06
57,2,21,2015_06
57,19,8,2015_06
57,3,29,2015_06
57,20,9,2015_06
57,9,50,2015_06
57,10,23,2015_06
57,15,12,2015_06
57,16,16,2015_06
57,4,8,2015_06
57,11,23,2015_06
57,13,23,2015_06
57,5,9,2015_06
57,6,11,2015_06
57,2,14,2015_07
57,3,14,2015_07
57,9,28,2015_07
57,10,19,2015_07
57,15,10,2015_07
57,4,10,2015_07
57,11,11,2015_07
57,13,13,2015_07
57,17,8,2015_07
57,8,7,2015_08
57,14,8,2015_08
57,2,15,2015_08
57,3,22,2015_08
57,20,9,2015_08
