from,to,weight,period
34,20,10,2014_36
34,23,8,2014_36
34,30,10,2014_36
34,32,7,2014_36
34,23,13,2014_37
34,27,19,2014_37
34,30,13,2014_37
34,20,10,2014_38
34,23,12,2014_38
34,27,19,2014_38
34,29,7,2014_38
34,30,7,2014_38
34,8,8,2014_39
34,27,17,2014_39
34,30,15,2014_39
34,20,7,2014_40
34,23,14,2014_40
34,27,11,2014_40
34,30,17,2014_40
34,3,13,2014_41
34,10,7,2014_41
34,16,10,2014_41
34,23,9,2014_41
34,27,31,2014_41
34,30,7,2014_41
34,32,7,2014_41
34,12,7,2014_42
34,16,7,2014_42
34,23,10,2014_42
34,27,24,2014_42
34,30,12,2014_42
34,3,8,2014_43
34,23,12,2014_43
34,27,15,2014_43
34,30,13,2014_43
34,3,10,2014_44
34,23,13,2014_44
34,27,17,2014_44
34,30,24,2014_44
34,3,11,2014_45
34,11,7,2014_45
34,14,7,2014_45
34,20,7,2014_45
34,23,20,2014_45
34,27,23,2014_45
34,30,28,2014_45
34,3,7,2014_46
34,14,7,2014_46
34,20,11,2014_46
34,23,27,2014_46
34,27,34,2014_46
34,30,21,2014_46
34,11,9,2014_47
34,23,27,2014_47
34,27,17,2014_47
34,30,8,2014_47
34,3,10,2014_48
34,9,9,2014_48
34,17,7,2014_48
34,25,7,2014_48
34,26,8,2014_48
34,27,38,2014_48
34,28,8,2014_48
34,30,21,2014_48
34,3,8,2014_49
34,11,9,2014_49
34,23,14,2014_49
34,27,28,2014_49
34,29,9,2014_49
34,30,21,2014_49
34,32,9,2014_49
34,3,14,2014_50
34,4,9,2014_50
34,16,10,2014_50
34,21,8,2014_50
34,23,14,2014_50
34,27,10,2014_50
34,28,9,2014_50
34,30,13,2014_50
34,1,11,2014_51
34,9,7,2014_51
34,14,7,2014_51
34,16,7,2014_51
34,23,15,2014_51
34,27,15,2014_51
34,30,16,2014_51
34,20,8,2014_52
34,23,10,2014_52
34,30,14,2014_52
34,3,8,2015_01
34,23,9,2015_01
34,23,10,2015_02
34,27,23,2015_02
34,29,7,2015_02
34,30,22,2015_02
34,3,12,2015_03
34,17,8,2015_03
34,23,13,2015_03
34,27,22,2015_03
34,30,24,2015_03
34,3,9,2015_04
34,23,7,2015_04
34,27,29,2015_04
34,30,25,2015_04
34,27,21,2015_05
34,29,16,2015_05
34,30,16,2015_05
34,31,7,2015_05
34,2,7,2015_06
34,16,8,2015_06
34,23,21,2015_06
34,27,16,2015_06
34,30,33,2015_06
34,9,7,2015_07
34,23,16,2015_07
34,27,14,2015_07
34,30,37,2015_07
34,3,13,2015_08
34,9,10,2015_08
34,11,8,2015_08
34,16,8,2015_08
34,23,14,2015_08
34,27,25,2015_08
34,29,9,2015_08
34,30,35,2015_08
34,3,10,2015_09
34,11,7,2015_09
34,14,7,2015_09
34,20,7,2015_09
34,23,11,2015_09
34,27,25,2015_09
34,29,8,2015_09
34,30,26,2015_09
34,1,8,2015_10
34,3,7,2015_10
34,14,7,2015_10
34,23,19,2015_10
34,27,17,2015_10
34,30,25,2015_10
34,3,13,2015_11
34,23,21,2015_11
34,27,20,2015_11
34,30,25,2015_11
34,1,7,2015_12
34,2,9,2015_12
34,3,11,2015_12
34,5,7,2015_12
34,11,10,2015_12
34,14,7,2015_12
34,16,8,2015_12
34,23,18,2015_12
34,27,19,2015_12
34,30,26,2015_12
34,2,10,2015_13
34,16,10,2015_13
34,21,9,2015_13
34,23,7,2015_13
34,27,29,2015_13
34,30,26,2015_13
34,3,7,2015_14
34,11,7,2015_14
34,20,8,2015_14
34,23,9,2015_14
34,27,21,2015_14
