period,periodId
2014_36,1
2014_37,2
2014_38,3
2014_39,4
2014_40,5
2014_41,6
2014_42,7
2014_43,8
2014_44,9
2014_45,10
2014_46,11
2014_47,12
2014_48,13
2014_49,14
2014_50,15
2014_51,16
2014_52,17
2015_01,18
2015_02,19
2015_03,20
2015_04,21
2015_05,22
2015_06,23
2015_07,24
2015_08,25
2015_09,26
2015_10,27
2015_11,28
2015_12,29
2015_13,30
2015_14,31
2015_15,32
2015_16,33
2015_17,34
2015_18,35
2015_19,36
2015_20,37
2015_21,38
2015_22,39
2015_23,40
2015_24,41
2015_25,42
2015_26,43
2015_27,44
2015_28,45
2015_29,46
2015_30,47
2015_31,48
2015_32,49
2015_33,50
2015_34,51
2015_35,52
2015_36,53
2015_37,54
2015_38,55
2015_39,56
2015_40,57
2015_41,58
2015_42,59
2015_43,60
2015_44,61
2015_45,62
